uniprotswissprot	uniprotsptrembl	wormbase_gene
	Q9BI98	WBGene00000259
	G5ECZ9	WBGene00000259
	G5EFB4	WBGene00000259
	Q20741	WBGene00000262
	O01917	WBGene00000263
B6VQ60		WBGene00000264
Q21209		WBGene00000265
Q18801		WBGene00000266
Q6QMT2		WBGene00000267
	C3JXF0	WBGene00000267
	D0Z5N7	WBGene00000267
Q03562		WBGene00000268
Q9GUM2		WBGene00000269
Q95US5		WBGene00000270
	F5GUA1	WBGene00000270
	A0A131MCT5	WBGene00000271
	A0A131MBG0	WBGene00000271
	Q95ZL9	WBGene00000272
	Q9U1S2	WBGene00000273
	Q67X91	WBGene00000273
	I2HAF5	WBGene00000273
	I2HAF4	WBGene00000273
	I2HAF6	WBGene00000273
	G5EF07	WBGene00000274
Q21776		WBGene00000275
Q20932		WBGene00000276
Q93249		WBGene00000277
Q20781		WBGene00000279
	A0A131MB23	WBGene00000279
Q18932		WBGene00000280
Q27504		WBGene00000281
	Q21614	WBGene00000282
	Q8WQD8	WBGene00000282
Q10462		WBGene00000283
	O02637	WBGene00000284
P04630		WBGene00000285
	H9G2Z0	WBGene00000285
	G5EEG0	WBGene00000286
	Q94288	WBGene00000287
	U4PQW9	WBGene00000287
	G5EDZ8	WBGene00000288
	G5EF93	WBGene00000288
	O18058	WBGene00000288
G5EGK5		WBGene00000289
P34685		WBGene00000292
P34686		WBGene00000293
	Q95YA9	WBGene00000294
	H2L023	WBGene00000294
	Q9GNP0	WBGene00000295
	Q7Z1Q0	WBGene00000295
	S6FN11	WBGene00000296
	S6FWP9	WBGene00000296
P90986		WBGene00000296
Q19980		WBGene00000298
Q94051		WBGene00000301
	H2L2G6	WBGene00000301
Q18879		WBGene00000302
P34545		WBGene00000366
	G5EBS2	WBGene00000367
	Q7Z002	WBGene00000367
	Q7Z003	WBGene00000367
	Q7YZR6	WBGene00000367
	A0A0K3ASP4	WBGene00000367
	O01661	WBGene00000368
Q17345		WBGene00000369
	Q9NA39	WBGene00000370
	P90849	WBGene00000371
Q27519		WBGene00000372
	Q27531	WBGene00000373
Q09660		WBGene00000375
	G5EE09	WBGene00000376
	Q9U1P4	WBGene00000376
	Q8I4B4	WBGene00000376
	B3GWC3	WBGene00000376
	A0A061AD13	WBGene00000376
P41988		WBGene00000377
P47207		WBGene00000378
P47208		WBGene00000379
P47209		WBGene00000380
	Q8WQG4	WBGene00000380
P46550		WBGene00000381
	G8JY43	WBGene00000381
	P91155	WBGene00000382
P81299		WBGene00000383
O44552		WBGene00000386
O44628		WBGene00000387
	A0A0K3AXQ4	WBGene00000387
	A0A0K3ASE2	WBGene00000387
P30634		WBGene00000388
	Q21762	WBGene00000389
Q05062		WBGene00000390
	Q22922	WBGene00000391
	Q20628	WBGene00000392
Q95QW4		WBGene00000393
	A0A0K3ASM2	WBGene00000393
P34616		WBGene00000395
	A0A1C3NSI5	WBGene00000396
	Q19194	WBGene00000397
	H2KZC7	WBGene00000397
	X5M5L3	WBGene00000397
	X5M8R9	WBGene00000397
	O62328	WBGene00000399
	Q21035	WBGene00000401
	Q5F4U0	WBGene00000402
	G5ED46	WBGene00000403
	H2KY57	WBGene00000403
	Q2L6X9	WBGene00000403
P34556		WBGene00000405
Q9XTR1		WBGene00000406
G5ECH7		WBGene00000407
G5EFV5		WBGene00000408
P90866		WBGene00000409
Q9TVL3		WBGene00000410
Q09599		WBGene00000411
	G5EE89	WBGene00000412
	Q86S68	WBGene00000413
P34618		WBGene00000414
Q9XWD6		WBGene00000415
Q9NHC3		WBGene00000416
	U4PMJ0	WBGene00000416
	U4PRV3	WBGene00000416
P42573		WBGene00000417
	D3YT61	WBGene00000417
P30429		WBGene00000418
	G5EEN3	WBGene00000419
O76337		WBGene00000420
P34358		WBGene00000421
	C0P274	WBGene00000421
O17386		WBGene00000422
P41958		WBGene00000423
Q03206		WBGene00000424
P34641		WBGene00000425
Q8STE5		WBGene00000426
	V5Z1T2	WBGene00000426
	Q9TY06	WBGene00000427
P53547		WBGene00000428
G5ECT8		WBGene00000429
P20269		WBGene00000430
P20268		WBGene00000431
P20270		WBGene00000432
Q94398		WBGene00000433
	A0A0S4XRQ4	WBGene00000433
	A0A0S4XRV4	WBGene00000433
P56407		WBGene00000434
P41935		WBGene00000435
P17487		WBGene00000436
	A0A131MAP5	WBGene00000436
P17488		WBGene00000437
P20271		WBGene00000438
P34326		WBGene00000439
	G5EC89	WBGene00000440
P41934		WBGene00000441
	Q8MPS1	WBGene00000441
	H2L052	WBGene00000441
P26797		WBGene00000442
P41779		WBGene00000443
Q22811		WBGene00000444
P41936		WBGene00000445
	A0A2C9C3N2	WBGene00000445
	A0A2C9C312	WBGene00000445
P34663		WBGene00000446
Q9NLC2		WBGene00000447
P34522		WBGene00000448
	Q9XVN4	WBGene00000449
	H2L2F8	WBGene00000449
	G5EE18	WBGene00000450
Q22909		WBGene00000451
Q22910		WBGene00000452
Q23175		WBGene00000453
Q94166		WBGene00000454
Q94165		WBGene00000455
Q93352		WBGene00000457
Q93356		WBGene00000458
	A0A078BPG5	WBGene00000458
	A0A078BPE8	WBGene00000458
Q19720		WBGene00000459
	A0A1X7RBM7	WBGene00000459
	A0A1X7RCT5	WBGene00000459
	A0A1X7RBJ2	WBGene00000459
	A0A1X7RBJ5	WBGene00000459
	A0A1X7RC48	WBGene00000459
	A0A1X7RC50	WBGene00000459
	A0A1X7RBR4	WBGene00000459
	A0A1X7RBK3	WBGene00000459
	A0A1X7RBM0	WBGene00000459
	A0A1X7RBS0	WBGene00000459
	A0A1X7RBN7	WBGene00000459
	A0A1X7RCV1	WBGene00000459
	A0A1X7RBK2	WBGene00000459
	A0A1X7RBK4	WBGene00000459
Q22812		WBGene00000460
Q19503		WBGene00000461
	Q22810	WBGene00000462
Q18273		WBGene00000463
	A0A1X7RBT1	WBGene00000463
Q9BL02		WBGene00000464
Q8IA98		WBGene00000464
Q17802		WBGene00000465
Q17607		WBGene00000466
	Q6A3Q2	WBGene00000466
Q20646		WBGene00000467
	G5ECN8	WBGene00000468
Q94126		WBGene00000469
	O62213	WBGene00000472
	P91306	WBGene00000473
	P91398	WBGene00000474
	G5EDV3	WBGene00000475
O02326		WBGene00000476
	Q95QV2	WBGene00000477
G5ECQ2		WBGene00000478
Q95YF3		WBGene00000479
Q18905		WBGene00000480
	A0A0K3ASE6	WBGene00000480
	A0A0K3AW00	WBGene00000480
P32756		WBGene00000481
Q22516		WBGene00000482
Q966L8		WBGene00000483
	Q0PCD8	WBGene00000483
	G5EGF0	WBGene00000484
Q19542		WBGene00000485
	O61827	WBGene00000487
	A0A131MBQ3	WBGene00000488
	A0A131MB60	WBGene00000488
	A0A131MB33	WBGene00000488
	A0A131MBM6	WBGene00000488
	P90757	WBGene00000490
Q17423		WBGene00000491
Q93833		WBGene00000492
	G5EEW0	WBGene00000493
G5ECD6		WBGene00000496
G5EBQ8		WBGene00000497
	A0A0K3AR16	WBGene00000497
Q9N3Z3		WBGene00000498
Q9U1Y5		WBGene00000499
	G5ECY6	WBGene00000500
O02228		WBGene00000501
	G5EEI8	WBGene00000502
Q11174		WBGene00000503
Q9TYP2		WBGene00000506
P34425		WBGene00000507
P34424		WBGene00000508
	O17610	WBGene00000509
	B3GWD5	WBGene00000509
	A0A061AIW1	WBGene00000509
Q22942		WBGene00000510
P46558		WBGene00000511
P46559		WBGene00000512
P46560		WBGene00000513
	Q9GZF3	WBGene00000514
	Q22820	WBGene00000515
	Q86MJ6	WBGene00000515
Q22197		WBGene00000516
	Q22198	WBGene00000517
	G5EEJ2	WBGene00000517
	U4PBK8	WBGene00000517
Q3Y416		WBGene00000518
	Q9U2D2	WBGene00000519
	Q21829	WBGene00000520
	A0A131MBI3	WBGene00000520
	A0A131MCF2	WBGene00000520
	G5EFL9	WBGene00000521
	Q93198	WBGene00000522
Q11085		WBGene00000523
	Q23532	WBGene00000524
	H2KYF7	WBGene00000524
	Q22191	WBGene00000525
Q9NGJ7		WBGene00000526
	G5EF89	WBGene00000527
	G5EDV5	WBGene00000527
	G5EDQ4	WBGene00000527
	G5EGA4	WBGene00000527
	Q22833	WBGene00000528
	G5EDQ0	WBGene00000528
	G5EG93	WBGene00000529
	G5EEX0	WBGene00000529
	G5EGQ0	WBGene00000529
Q9BMK9		WBGene00000530
	A0A0K3ATX5	WBGene00000530
	A0A0K3AR01	WBGene00000530
	A0A0K3AUJ7	WBGene00000530
	A0A0K3AWV4	WBGene00000530
	A0A0K3ARJ6	WBGene00000530
	A0A0K3ATY0	WBGene00000530
	A0A0K3AR06	WBGene00000530
	Q95ZP4	WBGene00000531
	H2L0J1	WBGene00000531
	G5EGT4	WBGene00000532
	G5EC75	WBGene00000533
	G5ECM9	WBGene00000534
	G5EDZ9	WBGene00000535
P48376		WBGene00000536
Q95YE9		WBGene00000537
	G5EBM4	WBGene00000539
	G3MU35	WBGene00000539
	G5ECU8	WBGene00000540
	G5EES1	WBGene00000541
P34308		WBGene00000542
	Q22143	WBGene00000543
	Q9U2B2	WBGene00000544
	Q8IAA9	WBGene00000545
	Q8IAA8	WBGene00000545
	Q9N4B2	WBGene00000546
	Q9N4B1	WBGene00000547
	U4PMH7	WBGene00000547
H2KZM6		WBGene00000548
	A0A1I6CMB8	WBGene00000548
P32744		WBGene00000549
	K8ESK4	WBGene00000549
P34466		WBGene00000550
	Q18756	WBGene00000551
O16305		WBGene00000552
	A0A0K3AVX0	WBGene00000552
Q9TXJ0		WBGene00000553
G5EDN6		WBGene00000554
	H9G2Y1	WBGene00000554
	O44615	WBGene00000555
	O44611	WBGene00000556
	A0A0K3ASA3	WBGene00000556
	O44612	WBGene00000557
	O44613	WBGene00000558
	O44614	WBGene00000559
	Q9N3V6	WBGene00000560
P46581		WBGene00000561
	A8WI01	WBGene00000562
	Q7Z205	WBGene00000563
G5EEW9		WBGene00000564
Q9XXH8		WBGene00000565
	A0A1N7SYT2	WBGene00000565
	A0A1N7SYR6	WBGene00000565
Q9XX14		WBGene00000566
	Q7Z1J5	WBGene00000566
	A0A1X7RBL4	WBGene00000566
	A0A1X7RBL1	WBGene00000566
	A0A1X7RC73	WBGene00000566
P34652		WBGene00000567
	V6CLE5	WBGene00000567
	G5EBT7	WBGene00000583
	G5EGE2	WBGene00000584
	G5EGF2	WBGene00000584
Q21444		WBGene00000585
	A0A131MBD0	WBGene00000591
	A0A131MBB4	WBGene00000591
	A0A131MBV3	WBGene00000591
	A0A131MCR9	WBGene00000591
	Q19232	WBGene00000592
P17656		WBGene00000593
	G5EDG6	WBGene00000594
P18832		WBGene00000596
P18833		WBGene00000597
	Q20744	WBGene00000598
Q17460		WBGene00000599
P20630		WBGene00000601
P20631		WBGene00000602
P18834		WBGene00000603
	B2MZB1	WBGene00000603
	P91248	WBGene00000606
P18835		WBGene00000608
	P91249	WBGene00000609
	Q20091	WBGene00000610
P34687		WBGene00000611
	Q93208	WBGene00000612
	M1ZMI8	WBGene00000613
	M1ZJZ2	WBGene00000613
P34803		WBGene00000613
	G5ECU6	WBGene00000614
	Q20754	WBGene00000615
Q09455		WBGene00000616
P34804		WBGene00000617
	Q22369	WBGene00000618
	G5ED38	WBGene00000620
	Q20739	WBGene00000621
	O01799	WBGene00000622
	V6CM19	WBGene00000622
	Q1EPL5	WBGene00000623
	V6CLE3	WBGene00000624
	V6CLD0	WBGene00000624
	Q9N3D7	WBGene00000625
	O44989	WBGene00000626
	O01662	WBGene00000627
	Q7Z152	WBGene00000628
	O01873	WBGene00000629
	E5QCF2	WBGene00000630
	O44774	WBGene00000631
	O01860	WBGene00000632
	Q9GYS2	WBGene00000633
	P91274	WBGene00000634
	Q19725	WBGene00000636
	Q17582	WBGene00000637
	Q93207	WBGene00000638
	Q94399	WBGene00000639
	O02271	WBGene00000640
	Q9XUT4	WBGene00000641
	O44796	WBGene00000644
	Q9TZ57	WBGene00000645
	O61209	WBGene00000646
	Q9N4U2	WBGene00000647
	D6VP96	WBGene00000648
	H2L0P1	WBGene00000648
	P91250	WBGene00000649
	Q23422	WBGene00000650
Q09578		WBGene00000651
	Q21528	WBGene00000652
	Q21562	WBGene00000653
	Q9U336	WBGene00000654
Q09233		WBGene00000655
Q09456		WBGene00000656
	Q20135	WBGene00000657
	Q9NAQ4	WBGene00000658
	Q21437	WBGene00000659
	O18097	WBGene00000660
	Q9XVY1	WBGene00000661
	B6GUQ3	WBGene00000661
	Q7YTG4	WBGene00000662
	O44904	WBGene00000663
	Q19528	WBGene00000664
P34340		WBGene00000665
P34391		WBGene00000666
	Q9XVG3	WBGene00000667
	Q9U348	WBGene00000668
	Q9U349	WBGene00000669
	Q86MP1	WBGene00000670
	Q86MP2	WBGene00000671
	O18286	WBGene00000672
	O17805	WBGene00000673
O76368		WBGene00000674
	U4PC95	WBGene00000674
	U4PMN6	WBGene00000674
	U4PRZ7	WBGene00000674
	A0A0F6YQF6	WBGene00000674
	A0A131MBJ4	WBGene00000674
	A0A131MBQ9	WBGene00000674
	A0A131MCS7	WBGene00000674
	A0A131MCY1	WBGene00000674
	A0A131MBL6	WBGene00000674
	A0A131MB32	WBGene00000674
	A0A131MAZ6	WBGene00000674
	A0A131MBJ3	WBGene00000674
	A0A131MCG3	WBGene00000674
	A0A131MD72	WBGene00000674
	A0A131MBK4	WBGene00000674
	O45105	WBGene00000675
	U4PFF3	WBGene00000675
	Q9GZF7	WBGene00000676
	O45114	WBGene00000677
	O44174	WBGene00000678
	O44173	WBGene00000679
	Q8MXT6	WBGene00000680
	Q86S35	WBGene00000681
	Q95Y22	WBGene00000682
	Q9N527	WBGene00000683
	Q19592	WBGene00000684
	Q9GYI3	WBGene00000685
	U4PM21	WBGene00000685
	Q18450	WBGene00000687
	M1ZJS7	WBGene00000687
	Q18975	WBGene00000688
	Q9N3X9	WBGene00000689
	O61525	WBGene00000690
	G5EDG6	WBGene00000691
	A5JYR8	WBGene00000692
	A5JYR9	WBGene00000692
	Q18799	WBGene00000693
	Q9XWR2	WBGene00000694
	Q20880	WBGene00000695
	Q22183	WBGene00000696
	Q23222	WBGene00000697
	Q9NAR3	WBGene00000698
	Q18302	WBGene00000699
	G5EFU8	WBGene00000700
	G5EFU8	WBGene00000701
	Q19368	WBGene00000702
	Q21556	WBGene00000703
	A0A061ADV7	WBGene00000703
	Q19218	WBGene00000704
	Q18537	WBGene00000705
	Q18536	WBGene00000706
	Q9XUE9	WBGene00000707
	Q86D04	WBGene00000708
	G3MU58	WBGene00000708
	Q9NAE0	WBGene00000710
	A3QM98	WBGene00000711
	Q20282	WBGene00000712
	Q19813	WBGene00000713
	O17035	WBGene00000714
	O17036	WBGene00000715
	O17038	WBGene00000716
	Q17458	WBGene00000717
Q17459		WBGene00000718
	Q22260	WBGene00000719
	Q22256	WBGene00000720
	Q17939	WBGene00000721
	Q17417	WBGene00000722
	Q17418	WBGene00000723
	Q17402	WBGene00000724
	Q19979	WBGene00000725
	Q19514	WBGene00000726
	Q20805	WBGene00000727
Q21184		WBGene00000728
	Q20927	WBGene00000729
	Q22393	WBGene00000730
	O17734	WBGene00000731
	Q20922	WBGene00000732
	Q20921	WBGene00000733
	O17686	WBGene00000734
	Q9U2P5	WBGene00000735
	Q86D09	WBGene00000736
	Q22651	WBGene00000737
	Q966K5	WBGene00000738
	Q86FL7	WBGene00000739
	Q22379	WBGene00000740
	Q22380	WBGene00000741
	Q86NE4	WBGene00000742
	Q86NE3	WBGene00000743
	Q86NE2	WBGene00000744
	Q20142	WBGene00000745
	Q7YZV5	WBGene00000745
	Q20270	WBGene00000746
	Q9GYP3	WBGene00000747
	Q18480	WBGene00000748
	Q23263	WBGene00000749
	Q21039	WBGene00000750
	O17641	WBGene00000751
	O17642	WBGene00000752
	Q18620	WBGene00000753
	Q23150	WBGene00000754
	Q2XN04	WBGene00000754
	Q21855	WBGene00000755
	Q19111	WBGene00000756
	Q19470	WBGene00000757
	I2HA94	WBGene00000757
	Q7YXA3	WBGene00000758
	Q19050	WBGene00000759
	Q18327	WBGene00000760
	P91093	WBGene00000761
Q8I7J4		WBGene00000762
	O18235	WBGene00000763
P91428		WBGene00000764
P34666		WBGene00000765
O01884		WBGene00000766
Q18486		WBGene00000767
Q21624		WBGene00000768
Q03571		WBGene00000770
Q18317		WBGene00000771
O01835		WBGene00000772
	Q19864	WBGene00000773
	O45577	WBGene00000774
	Q20166	WBGene00000775
	O45734	WBGene00000776
	H9G333	WBGene00000776
	G5EFB5	WBGene00000777
	O44788	WBGene00000778
	A0A0K3AWU9	WBGene00000778
	O01542	WBGene00000779
	O44727	WBGene00000780
P25807		WBGene00000781
	O45466	WBGene00000782
P43507		WBGene00000783
P43508		WBGene00000784
P43509		WBGene00000785
P43510		WBGene00000786
	Q8MQC6	WBGene00000786
	G8JY40	WBGene00000786
Q95NM6		WBGene00000787
	G5EGP8	WBGene00000788
	A0A078BPL2	WBGene00000788
	P92005	WBGene00000789
	Q19350	WBGene00000792
	G5EBL5	WBGene00000793
	Q9U2I0	WBGene00000793
	Q8I4D8	WBGene00000793
	Q8I4D7	WBGene00000793
	G5ECG1	WBGene00000793
	D0Z5N2	WBGene00000793
	D0Z5N1	WBGene00000793
Q9N3T2		WBGene00000794
	G5EG18	WBGene00000795
	G5EBX6	WBGene00000796
	Q8I129	WBGene00000796
Q10905		WBGene00000797
	G5EG59	WBGene00000798
P34508		WBGene00000799
	O76618	WBGene00000800
	Q965I6	WBGene00000800
	A0A061ACL3	WBGene00000800
P27798		WBGene00000802
	Q93781	WBGene00000803
O45952		WBGene00000804
G5ECJ6		WBGene00000812
	V6CL68	WBGene00000812
Q9GS00		WBGene00000813
O01422		WBGene00000814
Q9N425		WBGene00000815
Q9N359		WBGene00000816
P91001		WBGene00000817
Q95PZ0		WBGene00000818
	C5VUK2	WBGene00000818
G5EBM1		WBGene00000819
Q9TZP5		WBGene00000820
G5ECW5		WBGene00000821
	Q20203	WBGene00000822
P24890		WBGene00000829
O61235		WBGene00000830
Q27487		WBGene00000831
	H2L011	WBGene00000832
	H2L012	WBGene00000832
	Q8T3U1	WBGene00000832
	G8JYB2	WBGene00000832
P34575		WBGene00000833
	G5EE14	WBGene00000834
	G5ED40	WBGene00000834
	G5EE41	WBGene00000835
Q17389		WBGene00000836
Q17390		WBGene00000837
Q17391		WBGene00000838
	A0A0K3AY70	WBGene00000838
	A0A0K3ASX8	WBGene00000838
	A0A0K3AV81	WBGene00000838
